MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape_Area,mean_AI
E02000062,Barnet 039,12.840432391900000,0.000000000000000,29.944006039800001,3,11776.139997899999798,1837998.712370000081137,14.169133806400000
E02000063,Barnet 040,8.890675594850000,4.391912088520000,18.495735500799999,2,7042.429267939999590,1037609.399240000057034,9.206893044910000
E02000064,Barnet 041,11.623455610600001,2.164617598620000,19.507467433500000,3,6734.551259580000078,794376.091526999953203,10.937797282500000
E02000065,Bexley 001,0.000000000000000,0.000000000000000,12.896187911600000,1b,10790.114120399999592,4062100.491669999901205,2.907041828300000
E02000066,Bexley 002,6.563752932740000,0.000000000000000,26.292866593700001,3,9102.871115750000172,1572599.466659999918193,10.493946475700000
E02000067,Bexley 003,5.059679108710000,0.000000000000000,10.832209078200000,1b,12042.192628200000399,2617969.627210000064224,4.858527281230000
E02000068,Bexley 004,5.357565606220000,0.000000000000000,14.698546911799999,2,10546.600638500000059,3582976.724429999943823,6.252711890470000
E02000069,Bexley 005,4.399431851940000,0.000000000000000,11.926416421700001,2,7920.213602779999746,1451342.273890000069514,5.085634441570000
E02000070,Bexley 006,5.293437754940000,0.000000000000000,24.267145719399998,2,11608.354766000000382,1856161.208739999914542,6.438839934090000
E02000071,Bexley 007,3.846856450420000,0.000000000000000,8.706359571500000,1b,6075.533090709999669,1178698.463119999971241,3.607253386480000
E02000072,Bexley 008,1.997926963890000,0.000000000000000,12.113466720000000,1b,12987.821242899999561,5602484.490550000220537,3.118967109090000
E02000073,Bexley 009,5.328868288780000,1.617680041220000,11.903085767100000,2,11449.389576400000806,1600192.848130000056699,5.881093038220000
E02000074,Bexley 010,3.600469131980000,0.000000000000000,10.568808553600000,1b,10703.817390300000625,1128745.531200000084937,4.365964144880000
E02000075,Bexley 011,6.486443866150000,0.000000000000000,11.676318673999999,2,9081.312754480000876,1535323.364700000034645,6.443737669810000
E02000077,Bexley 013,4.958518852650000,0.000000000000000,13.559190313000000,2,5728.355068030000439,1117417.763299999991432,5.695073062950000
